SL No,Party Name,Party Type,Dominant State
0,AAM AADMI PARTY,National,Delhi
1,ADYAKSHA SAMAJVADI PARTY,Regional,Uttar Pradesh
2,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,Regional,Tamil Nadu
3,ALL INDIA TRINAMOOL CONGRESS,Regional,West Bengal
4,BHARAT RASHTRA SAMITHI,Regional,Telangana
5,BHARATIYA JANATA PARTY,National,Gujarat
6,BIHAR PRADESH JANTA DAL(UNITED),Regional,Bihar
7,BIJU JANATA DAL,Regional,Odisha
8,DRAVIDA MUNNETRA KAZHAGAM (DMK),Regional,Tamil Nadu
9,GOA FORWARD PARTY,Regional,Goa
10,JAMMU AND KASHMIR NATIONAL CONFERENCE,Regional,Jammu and kashmir
11,JANASENA PARTY,Regional,Andhra Pradesh
12,JANATA DAL ( SECULAR ),Regional,Karnataka
13,JHARKHAND MUKTI MORCHA,Regional,Jharkhand
14,MAHARASHTRAWADI GOMNTAK PARTY,Regional,Goa
15,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,Regional,Maharastra
16,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",National,Telangana
17,RASHTRIYA JANTA DAL,Regional,Bihar
18,SHIROMANI AKALI DAL,Regional,Punjab
19,SHIVSENA,Regional,Maharastra
20,SIKKIM DEMOCRATIC FRONT,Regional,Sikkim
21,SIKKIM KRANTIKARI MORCHA,Regional,Sikkim
22,TELUGU DESAM PARTY,Regional,Andhra Pradesh
23,YSR CONGRESS PARTY (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),Regional,Andhra Pradesh
